CountyID,CountyName,CountyPercent,CurrentDateTime,IsReported,PartialPrecincts,PrecinctName,PrecinctsReporting,TotalPrecincts,Voters,calcVoterTurnout,acquired_datestamp
02,Bernalillo,0.539995663947047,,True,0,Countywide,687,687,450307,244091,2022-11-09-204122
28,Catron,0.6369689283449588,,True,0,Countywide,9,9,3135,2009,2022-11-09-204122
04,Chaves,0.4616362147355342,,True,0,Countywide,65,65,35308,16347,2022-11-09-204122
33,Cibola,0.45245573003675243,,True,0,Countywide,30,30,14948,6771,2022-11-09-204122
09,Colfax,0.5623003194888179,,True,0,Countywide,21,21,8725,4928,2022-11-09-204122
05,Curry,0.406642300969331,,True,0,Countywide,43,43,25103,10236,2022-11-09-204122
27,De Baca,0.5865457294028723,,True,0,Countywide,4,4,1325,776,2022-11-09-204122
07,Dona Ana,0.43117528172007724,,True,0,Countywide,190,190,133507,57815,2022-11-09-204122
03,Eddy,0.4760810103008788,,True,0,Countywide,54,54,34201,16361,2022-11-09-204122
08,Grant,0.5625359953925897,,True,0,Countywide,39,39,20765,11721,2022-11-09-204122
24,Guadalupe,0.5375916870415648,,True,0,Countywide,5,5,3272,1759,2022-11-09-204122
31,Harding,0.6687797147385103,,True,0,Countywide,3,3,629,422,2022-11-09-204122
23,Hidalgo,0.6182835820895523,,True,0,Countywide,6,6,2656,1657,2022-11-09-204122
06,Lea,0.37742248062015504,,True,0,Countywide,55,55,36986,14022,2022-11-09-204122
26,Lincoln,0.5651938194632692,,True,0,Countywide,29,29,14681,8340,2022-11-09-204122
32,Los Alamos,0.6486312813263077,,True,0,Countywide,23,23,15476,10094,2022-11-09-204122
19,Luna,0.44858748481166466,,True,0,Countywide,18,18,13104,5907,2022-11-09-204122
13,McKinley,0.4263072752710738,,True,0,Countywide,71,71,45633,19501,2022-11-09-204122
30,Mora,0.6571729957805907,,True,0,Countywide,11,11,3780,2492,2022-11-09-204122
15,Otero,0.4645627597892563,,True,0,Countywide,66,66,37638,17547,2022-11-09-204122
10,Quay,0.5144401283566965,,True,0,Countywide,12,12,5883,3046,2022-11-09-204122
17,Rio Arriba,0.504399968849778,,True,0,Countywide,48,48,25580,12954,2022-11-09-204122
11,Roosevelt,0.4281370923161968,,True,0,Countywide,21,21,10843,4647,2022-11-09-204122
16,San Juan,0.5113729090167278,,True,0,Countywide,103,103,78185,40108,2022-11-09-204122
12,San Miguel,0.4930805786202935,,True,0,Countywide,34,34,19107,9442,2022-11-09-204122
29,Sandoval,0.5562367864693446,,True,0,Countywide,157,157,108226,60513,2022-11-09-204122
01,Santa Fe,0.6244714730383778,,True,0,Countywide,179,179,110756,69415,2022-11-09-204122
21,Sierra,0.5940499040307101,,True,0,Countywide,12,12,8278,4952,2022-11-09-204122
25,Socorro,0.53602934754127,,True,0,Countywide,27,27,11329,6137,2022-11-09-204122
20,Taos,0.5221183311070952,,True,0,Countywide,47,47,25439,13290,2022-11-09-204122
22,Torrance,0.5353700848111026,,True,0,Countywide,22,22,10323,5555,2022-11-09-204122
18,Union,0.5967741935483871,,True,0,Countywide,6,6,2530,1517,2022-11-09-204122
14,Valencia,0.5397909200788821,,True,0,Countywide,66,66,46901,25456,2022-11-09-204122
