,proper_date,permit_date,owner_name,combined_address,contractor_name,type_of_work,int_sq_feet,int_valuation,currency_valuation,ApplicationPermitNumber,CommercialorResidential,TypeofWork,SiteNumber,SiteStreet,SiteStreetType,SiteStreetDirectional,SiteZip,Lot,Block,Subdivision,TotalSquareFeet,PlanCheckValuation,OwnerName,ContractorName,IssueDate,NumberOfUnits
0,2024-10-18,"Oct 18, 2024",Generation Partners Llc,2401 Central Ave. NW,"Pacificap Construction, LLC",,0,16000.0,"$16,000.00",GP-2024-35979,Commercial,demolition - demolition,2401,CENTRAL,AV,NW,,23,2,TRACTION PARK ADDN,0,16000,GENERATION PARTNERS LLC,"PACIFICAP CONSTRUCTION, LLC",20241018,0
1,2024-10-18,"Oct 18, 2024","Ag+5, Llc",1776 Central Ave. SW,Llr Construction Llc,,0,0.0,,GP-2024-37052,Commercial,demolition - demolition,1776,CENTRAL,AV,SW,,132,0000,MRGCD MAP 38,0,0,"AG+5, LLC",LLR CONSTRUCTION LLC,20241018,0
2,2024-10-18,"Oct 18, 2024","Storwise San Juan, Llc",6300 San Antonio  NE,Coronado Wrecking & Salvage Co. Inc.,,0,33555.0,"$33,555.00",GP-2024-28972,Commercial,demolition - demolition,6300,SAN ANTONIO,DR,NE,,1A,0000,P & J,0,33555,"STORWISE SAN JUAN, LLC","CORONADO WRECKING & SALVAGE CO., INC.",20241018,0
3,2024-10-18,"Oct 18, 2024",Generation Partners Llc,2403 Central Ave. NW,"Pacificap Construction, LLC",,0,24000.0,"$24,000.00",GP-2024-35856,Commercial,demolition - demolition,2403,CENTRAL,AV,NW,,22,2,TRACTION PARK ADDN,0,24000,GENERATION PARTNERS LLC,"PACIFICAP CONSTRUCTION, LLC",20241018,0
4,2024-10-18,"Oct 18, 2024",David Green ,1800 Girard Blvd. SE,Architractors,,100,1000.0,"$1,000.00",BP-2024-36679,Commercial,city project,1800,GIRARD,BLVD,SE,,B,0000,SUNPORT MUNICIPAL ADDN,100,1000,DAVID GREEN - CU33492500,ARCHITRACTORS,20241018,1
5,2024-10-18,"Oct 18, 2024",Sarah Rich ,3424 Vassar  NE,"Rich Construction, LLC",,3519,25000.0,"$25,000.00",BP-2024-11037,Commercial,alterations,3424,VASSAR,DR,NE,,H,0000,COLES INDUSTRIAL NO 2,3519,25000,SARAH RICH - CU70845616,"RICH CONSTRUCTION, LLC",20241018,1
6,2024-10-18,"Oct 18, 2024",Renn Halstead ,6600 Menaul Blvd. NE,"Klinger Constructors Llc, Fbt Architects",,2603,300000.0,"$300,000.00",BP-2024-30413,Commercial,commercial renovation phase,6600,MENAUL,BLVD,NE,,3A1/CORONADO CENTER,0000,JEANNEDALE UNIT 6,2603,300000,RENN HALSTEAD - CU202553525,"KLINGER CONSTRUCTORS LLC, FBT ARCHITECTS",20241018,1
7,2024-10-18,"Oct 18, 2024",David Langley,1736 Central Ave. SW,Llr Construction Llc,,0,0.0,,GP-2024-36329,Commercial,demolition - demolition,1736,CENTRAL,AV,SW,,1,0000,GARCIA PROPERTIES DEVELOPMENT,0,0,DAVID LANGLEY,LLR CONSTRUCTION LLC,20241018,0
8,2024-10-18,"Oct 18, 2024",Anissa Hogeland ,3821 Menaul Blvd. NE,Anissa Construction Inc.,,17003,1000.0,"$1,000.00",BP-2024-30629,Commercial,a change-of-use project,3821,MENAUL,BLVD,NE,,C1A,0000,JOHNSON--A J PROPERTY,17003,1000,ANISSA HOGELAND - CU46249673,"ANISSA CONSTRUCTION, INC.",20241018,
9,2024-10-17,"Oct 17, 2024",Lisa Sunderland ,2004 Wyoming Blvd. NE,"Hart Design And Construction Inc., Smc Solutions",,2160,300000.0,"$300,000.00",BP-2023-36316,Commercial,alterations,2004,WYOMING,BLVD,NE,,5A,0000,WYOMING MALL,2160,300000,LISA SUNDERLAND - CU40802083,"HART DESIGN AND CONSTRUCTION INC., SMC SOLUTIONS",20241017,1
10,2024-10-17,"Oct 17, 2024",Doug Heller ,6300 Jefferson St. NE,"Bradbury Stamm Construction  Inc., Mullen Heller Architecture",,10000,100000.0,"$100,000.00",BP-2024-22530,Commercial,city project,6300,JEFFERSON,ST,NE,87109,A1A1A/LOVELACE HOSPITAL,0000,LOVELACE HOSPITAL,10000,100000,DOUG HELLER - CU76280795,"BRADBURY STAMM CONSTRUCTION  INC., MULLEN HELLER ARCHITECTURE",20241017,
11,2024-10-17,"Oct 17, 2024",Pam Kearney ,1431 Mercantile Ave. NE,"Place Services Inc.ororated, Scout Services",,11856,189200.0,"$189,200.00",BP-2024-27486,Commercial,alterations,1431,MERCANTILE,AV,NE,,6A2,0000,RENAISSANCE CENTER,11856,189200,PAM KEARNEY - CU116300769,"PLACE SERVICES INCORORATED, SCOUT SERVICES",20241017,1
12,2024-10-17,"Oct 17, 2024",Tina Reames ,2201 San Pedro  NE,"Aic General Contractors Inc., Cherry/See/Reames Architects Pc",,9423,105000.0,"$105,000.00",BP-2024-33165,Commercial,minor alterations or repairs,2201,SAN PEDRO,DR,NE,,1,B,SAN PEDRO INVESTMENT PROPERTY,9423,105000,TINA REAMES - CU93183968,"AIC GENERAL CONTRACTORS, INC., CHERRY/SEE/REAMES ARCHITECTS PC",20241017,1
13,2024-10-17,"Oct 17, 2024",Pacific Cactus Llc,7801 La Morada Pl. NW,Cutter'S Edge Llc,,0,12000.0,"$12,000.00",GP-2024-29746,Commercial,wall - retaining wall > 2' retention,7801,LA MORADA,PL,NW,,24,0000,LADERA BUSINESS PARK UNIT 1,0,12000,PACIFIC CACTUS LLC,CUTTER'S EDGE LLC,20241017,0
14,2024-10-17,"Oct 17, 2024",Doug Heller ,6300 Jefferson St. NE,"Bradbury Stamm Construction  Inc., Mullen Heller Architecture",,13896,4000000.0,"$4,000,000.00",BP-2024-27708,Commercial,city project,6300,JEFFERSON,ST,NE,87109,A1A1A/LOVELACE HOSPITAL,0000,LOVELACE HOSPITAL,13896,4000000,DOUG HELLER - CU76280795,"BRADBURY STAMM CONSTRUCTION  INC., MULLEN HELLER ARCHITECTURE",20241017,
15,2024-10-16,"Oct 16, 2024",Megan Pavelko ,500 Marquette Ave. NW,"Aic General Contractors Inc., Fbt Architects",,14856,950000.0,"$950,000.00",BP-2024-27571,Commercial,alterations,500,MARQUETTE,AV,NW,,1/CAVAN BUILDING,1,TIJERAS URBAN RENEWAL DISPOSTION BLOCK 9,14856,950000,MEGAN PAVELKO - CU189626146,"AIC GENERAL CONTRACTORS, INC., FBT ARCHITECTS",20241016,
16,2024-10-15,"Oct 15, 2024",Jane Swallows ,2421 2Nd St. NW,"Tsi Tower Services Inc., J5 Infrastructure Partners",,4500,20000.0,"$20,000.00",BP-2024-26328,Commercial,commercial renovation phase,2421,2ND,ST,NW,,32,15,FRANCISCAN ADDN,4500,20000,JANE SWALLOWS - CU94536665,"TSI TOWER SERVICES INC, J5 INFRASTRUCTURE PARTNERS",20241015,
17,2024-10-15,"Oct 15, 2024",Stephen Leos ,8500 Menaul Blvd. NE,"Dpc Construction Ltd. Co., Stephen Leos Architect Llc",,3427,150000.0,"$150,000.00",BP-2024-31951,Commercial,alterations,8500,MENAUL,BLVD,NE,,1,A,SNOW HEIGHTS ADDN,3427,150000,STEPHEN LEOS - CU112240198,"DPC CONSTRUCTION LTD. CO., STEPHEN LEOS ARCHITECT LLC",20241015,
18,2024-10-15,"Oct 15, 2024",Richard Cline ,8300 Palomas Ave. NE,"Hybrid Builders, LLC, Arcline Architectural Design",,2967,450000.0,"$450,000.00",BP-2024-28129,Commercial,alterations,8300,PALOMAS,AV,NE,,12,22,N ABQ ACRES TRACT A UNIT A,2967,450000,RICHARD CLINE - CU35197847,"HYBRID BUILDERS, LLC, ARCLINE ARCHITECTURAL DESIGN",20241015,
19,2024-10-15,"Oct 15, 2024",Jane Swallows ,5105 Homestead  NW,"Enertech Resources, LLC, J5 Infrastructure Partners",,253,25000.0,"$25,000.00",BP-2024-30237,Commercial,alterations,5105,HOMESTEAD,CIR,NW,,Y2A2,0000,TAYLOR RANCH,253,25000,JANE SWALLOWS - CU94536665,"ENERTECH RESOURCES, LLC, J5 INFRASTRUCTURE PARTNERS",20241015,
20,2024-10-15,"Oct 15, 2024",Samantha Olendorff ,11035 Menaul Blvd. NE,All Homes Construction,,4004,375440.0,"$375,440.00",BP-2024-21909,Commercial,alterations,11035,MENAUL,BLVD,NE,,1,88,SNOW HEIGHTS ADDN,4004,375440,SAMANTHA OLENDORFF - CU205571612,ALL HOMES CONSTRUCTION,20241015,1
21,2024-10-15,"Oct 15, 2024",Jane Swallows ,612 Virginia St. SE,"Tsi Tower Services Inc., J5 Infrastructure Partners",,400,25000.0,"$25,000.00",BP-2024-27396,Commercial,commercial renovation phase,612,VIRGINIA,ST,SE,,2C,0000,HAGER INDUSTRIAL PARK NO 1,400,25000,JANE SWALLOWS - CU94536665,"TSI TOWER SERVICES INC, J5 INFRASTRUCTURE PARTNERS",20241015,
22,2024-10-15,"Oct 15, 2024",Whataburger,2060 Gibson Blvd. SE,Signart Of New Mexico Inc.,,0,15000.0,"$15,000.00",GP-2024-33678,Commercial,a commercial sign,2060,GIBSON,BLVD,SE,,D,0000,LOVELACE HEIGHTS ADDN,0,15000,WHATABURGER,"SIGNART OF NEW MEXICO, INC.",20241015,0
23,2024-10-15,"Oct 15, 2024",Jane Swallows ,1605 Indian School Road NW,"Enertech Resources, LLC, J5 Infrastructure Partners",,145,20000.0,"$20,000.00",BP-2024-25287,Commercial,commercial renovation phase,1605,INDIAN SCHOOL,RD,NW,,A1,5,GLENWAY PARK ADDN,145,20000,JANE SWALLOWS - CU94536665,"ENERTECH RESOURCES, LLC, J5 INFRASTRUCTURE PARTNERS",20241015,
24,2024-10-15,"Oct 15, 2024",Judson Cervenak ,4411 The 25 Way  NE,"Dpc Construction Ltd. Co., Judson Cervenak Architects",,520,80000.0,"$80,000.00",BP-2024-30157,Commercial,alterations,4411,THE 25 WAY,,NE,,A1,0000,THE 25,520,80000,JUDSON CERVENAK - CU37338575,"DPC CONSTRUCTION LTD. CO., JUDSON CERVENAK ARCHITECTS",20241015,1
25,2024-10-15,"Oct 15, 2024",Natasha Bendinskas ,320 Osuna Road NE,"Conversion Test Contractor, Wtx Foundation Repair Llc",,5300,61875.0,"$61,875.00",BP-2024-31855,Commercial,a foundation,320,OSUNA,RD,NE,,3,0000,ZIA TRADING COMPANY,5300,61875,NATASHA BENDINSKAS - CU204040340,"CONVERSION TEST CONTRACTOR, WTX FOUNDATION REPAIR LLC",20241015,
