,proper_date,permit_date,owner_name,combined_address,contractor_name,type_of_work,int_sq_feet,int_valuation,currency_valuation,ApplicationPermitNumber,CommercialorResidential,TypeofWork,SiteNumber,SiteStreet,SiteStreetType,SiteStreetDirectional,SiteZip,Lot,Block,Subdivision,TotalSquareFeet,PlanCheckValuation,OwnerName,ContractorName,IssueDate,NumberOfUnits
0,2022-06-23,"Jun 23, 2022",Mike Leach,2410 Midtown Pl. NE,Triple M Construction,,0,0.0,,GP-2022-21120,Commercial,a commercial sign,2410,MIDTOWN,PL,NE,,3A,0000,INTERSTATE BUSINESS PARK,0,0,MIKE LEACH,TRIPLE M CONSTRUCTION,20220623,0
1,2022-06-23,"Jun 23, 2022",Smile Point Dental,333 San Mateo Blvd. SE,Signart Of New Mexico Inc.,,0,0.0,,GP-2022-24192,Commercial,a commercial sign,333,SAN MATEO,BLVD,SE,,2,0000,WALMART ADDN,0,0,SMILE POINT DENTAL,"SIGNART OF NEW MEXICO, INC.",20220623,0
2,2022-06-23,"Jun 23, 2022",John Rocca ,1212 3Rd St. NW,Green Desert General Contractor Llc,,1470,9300.0,"$9,300.00",BP-2022-02432,Commercial,an addition,1212,3RD,ST,NW,,9,9,PARIS ADDN,1470,9300,JOHN ROCCA - CU43896411,GREEN DESERT GENERAL CONTRACTOR LLC,20220623,
3,2022-06-23,"Jun 23, 2022",Patti Rios ,6015 4Th St. NW,Two Rivers Construction,,2800,1000.0,"$1,000.00",BP-2022-27694,Commercial,a change of use project,6015,4TH,ST,NW,,41,1,GAVILAN ADDN,2800,1000,PATTI RIOS - CU41415324,TWO RIVERS CONSTRUCTION,20220623,
4,2022-06-23,"Jun 23, 2022",Patti Rios ,10601 Central Ave. NE,Two Rivers Construction,,1973,1000.0,"$1,000.00",BP-2022-27690,Commercial,a change of use project,10601,CENTRAL,AV,NE,,B,0000,BELLAMAHS CENTRAL ADDN,1973,1000,PATTI RIOS - CU41415324,TWO RIVERS CONSTRUCTION,20220623,
5,2022-06-22,"Jun 22, 2022",Chuck E Cheese,4400 Wyoming Blvd. NE,Signart Of New Mexico Inc.,,0,0.0,,GP-2022-23230,Commercial,a commercial sign,4400,WYOMING,BLVD,NE,,4B,0000,CLIFFORD--MULLINS BUSINESS ADDN,0,0,CHUCK E CHEESE,"SIGNART OF NEW MEXICO, INC.",20220622,0
6,2022-06-22,"Jun 22, 2022",Target,9371 Coors Blvd. NW,Signart Of New Mexico Inc.,,0,0.0,,GP-2022-23973,Commercial,a commercial sign,9371,COORS,BLVD,NW,,D,0000,MARKET CENTRE WEST,0,0,TARGET,"SIGNART OF NEW MEXICO, INC.",20220622,0
7,2022-06-22,"Jun 22, 2022",State Of Nm Land Office,5601 University Blvd. SE,Enterprise Builders Corp.,,0,0.0,,GP-2022-26226,Commercial,a commercial sign,5601,UNIVERSITY,BLVD,SE,,13,0000,MESA DEL SOL,0,0,STATE OF NM LAND OFFICE,ENTERPRISE BUILDERS CORPORATION,20220622,0
8,2022-06-22,"Jun 22, 2022",Albuquerque Public Schools,12200 Lomas Blvd. NE,Alan White Signs Llc,,0,0.0,,GP-2022-26383,Commercial,a commercial sign,12200,LOMAS,BLVD,NE,,MANZANO HIGH SCHOOL,0000,MANZANO HIGH SCHOOL,0,0,ALBUQUERQUE PUBLIC SCHOOLS,ALAN WHITE SIGNS LLC,20220622,0
9,2022-06-22,"Jun 22, 2022",Goodwill,1030 18Th St. NW,Signart Of New Mexico Inc.,,0,0.0,,GP-2022-22921,Commercial,a commercial sign,1030,18TH,ST,NW,,B2A2A,0000,FREEWAY OLD TOWN LTD,0,0,GOODWILL,"SIGNART OF NEW MEXICO, INC.",20220622,0
10,2022-06-22,"Jun 22, 2022",Eric Munn ,8236 Menaul Blvd. NE,"Klein Constructors, LLC, Ti Design Services",,5864,115000.0,"$115,000.00",BP-2022-24811,Commercial,alterations,8236,MENAUL,BLVD,NE,,A,0000,HOFFMANTOWN SHOPPING CENTER,5864,115000,ERIC MUNN - CU61763760,"KLEIN CONSTRUCTORS, LLC, TI DESIGN SERVICES",20220622,1
11,2022-06-22,"Jun 22, 2022",Loren Miller ,2851 Arenal Road SW,"Rba Architects, Mesa Unlimited Llc",,8956,1000.0,"$1,000.00",BP-2022-23004,Commercial,a change of use project,2851,ARENAL,RD,SW,,2A,0000,SAN JOSE ARENAL,8956,1000,LOREN MILLER - CU158966574,"RBA ARCHITECTS, MESA UNLIMITED LLC",20220622,
