,proper_date,permit_date,owner_name,combined_address,contractor_name,type_of_work,int_sq_feet,int_valuation,currency_valuation,ApplicationPermitNumber,CommercialorResidential,TypeofWork,SiteNumber,SiteStreet,SiteStreetType,SiteStreetDirectional,SiteZip,Lot,Block,Subdivision,TotalSquareFeet,PlanCheckValuation,OwnerName,ContractorName,IssueDate,NumberOfUnits
0,2023-02-16,"Feb 16, 2023",Treveston Elliott ,2420 Comanche Road NE,"Jte Construction, LLC, Treveston Elliott Architect",,1816,35000.0,"$35,000.00",BP-2022-52787,Commercial,alterations,2420,COMANCHE,RD,NE,,A,0000,COMANCHE BUSINESS CENTER,1816,35000,TREVESTON ELLIOTT - CU70987967,"JTE CONSTRUCTION, LLC, TREVESTON ELLIOTT ARCHITECT",20230216,
1,2023-02-16,"Feb 16, 2023",Treveston Elliott ,4525 Paseo Del Norte  NE,"Jte Construction, LLC, Treveston Elliott Architect",,500,10000.0,"$10,000.00",BP-2022-44183,Commercial,a foundation,4525,PASEO DEL NORTE,,NE,,UNPLATTED,0000,UNPLATTED,500,10000,TREVESTON ELLIOTT - CU70987967,"JTE CONSTRUCTION, LLC, TREVESTON ELLIOTT ARCHITECT",20230216,
2,2023-02-16,"Feb 16, 2023",Blake Bridges ,1000 Woodward Pl. NE,Genoa Construction Services Inc. ,,205470,89590.0,"$89,590.00",BP-2022-41333,Commercial,alterations,1000,WOODWARD,PL,NE,,B1,0000,GATEWAY,205470,89590,BLAKE BRIDGES - CU166454113,"GENOA CONSTRUCTION SERVICES, INC ",20230216,261
3,2023-02-16,"Feb 16, 2023",Robert Mcelheney ,1629 4Th St. NW,"Arcs N Sparks Electric Inc., Bob Mac Architecture",,4793,75818.0,"$75,818.00",BP-2022-44678,Commercial,a change-of-use project,1629,4TH,ST,NW,,1,2,IVES ADDN,4793,75818,ROBERT MCELHENEY - CU34881753,"ARCS N SPARKS ELECTRIC, INC, BOB MAC ARCHITECTURE",20230216,1
4,2023-02-15,"Feb 15, 2023",Arde  Shirazi ,2401 Menaul Blvd. NE,"Franken Construction Company Inc., Twinsteps Architecture",,32000,350000.0,"$350,000.00",BP-2022-37523,Commercial,alterations,2401,MENAUL,BLVD,NE,,E1A,0000,LEONARD INDUSTRIAL AREA,32000,350000,ARDE  SHIRAZI - CU164512449,"FRANKEN CONSTRUCTION COMPANY INC, TWINSTEPS ARCHITECTURE",20230215,
5,2023-02-15,"Feb 15, 2023",Xoxo Cbd,6300 San Mateo Blvd. NE,Electrical Products Co.,,0,1500.0,"$1,500.00",GP-2022-45688,Commercial,a commercial sign,6300,SAN MATEO,BLVD,NE,,M,0000,FAR NORTH SHOPPING CENTER,0,1500,XOXO CBD,ELECTRICAL PRODUCTS COMPANY,20230215,0
6,2023-02-15,"Feb 15, 2023",Arun Kumar ,3202 Candelaria Road NE,Om 2000 Construction,,1800,7000.0,"$7,000.00",BP-2022-32359,Commercial,a change-of-use project,3202,CANDELARIA,RD,NE,,C NWLY PORTION OF,C,DUKE CITY INDUSTRIAL AREA ADDN,1800,7000,ARUN KUMAR - CU128777244,OM 2000 CONSTRUCTION,20230215,1
7,2023-02-15,"Feb 15, 2023",Sandia Church Of Nazarene,8216 Central Ave. SE,Electrical Products Co.,,0,2000.0,"$2,000.00",GP-2022-41486,Commercial,a commercial sign,8216,CENTRAL,AV,SE,,16,4,UNITY ADDN,0,2000,SANDIA CHURCH OF NAZARENE,ELECTRICAL PRODUCTS COMPANY,20230215,0
8,2023-02-15,"Feb 15, 2023",Delia Barrett ,400 Marquette Ave. NW,"Franken Construction Company Inc., Studio Southwest Architects",,4916,2929923.0,"$2,929,923.00",BP-2022-40512,Commercial,city project,400,MARQUETTE,AV,NW,,UNPLATTED/CITY COUNTY GOVT CENTER,0000,UNPLATTED/BERNALILLO COUNTY,4916,2929923,DELIA BARRETT - CU33336253,"FRANKEN CONSTRUCTION COMPANY INC, STUDIO SOUTHWEST ARCHITECTS",20230215,
9,2023-02-15,"Feb 15, 2023",Spectrum Services ,7701 La Morada Pl. NW,"Northstar Communications Inc., Spectrum",,15,100000.0,"$100,000.00",BP-2022-38117,Commercial,alterations,7701,LA MORADA,PL,NW,,25A,0000,LADERA BUSINESS PARK UNIT 1,15,100000,SPECTRUM SERVICES - CU117773546,"NORTHSTAR COMMUNICATIONS, INC., SPECTRUM",20230215,
10,2023-02-15,"Feb 15, 2023",Harvest Fellowship ,5331 Montano Road NW,"Little Bubba'S Construction, LLC",,0,5000.0,"$5,000.00",GP-2022-46181,Commercial,a commercial sign,5331,MONTANO,RD,NW,,3,0000,HAMMOND,0,5000,HARVEST FELLOWSHIP ,"LITTLE BUBBA'S CONSTRUCTION, LLC",20230215,0
11,2023-02-15,"Feb 15, 2023",Delia Barrett ,400 Marquette Ave. NW,"Franken Construction Company Inc., Studio Southwest Architects",,366,437803.0,"$437,803.00",BP-2022-40360,Commercial,city project,400,MARQUETTE,AV,NW,,UNPLATTED/CITY COUNTY GOVT CENTER,0000,UNPLATTED/BERNALILLO COUNTY,366,437803,DELIA BARRETT - CU33336253,"FRANKEN CONSTRUCTION COMPANY INC, STUDIO SOUTHWEST ARCHITECTS",20230215,
12,2023-02-14,"Feb 14, 2023",Evan Davis ,99999 Jefferson St. SE,Sunlight Properties Llc,,19083,2500000.0,"$2,500,000.00",BP-2022-35234,Commercial,a new building,99999,JEFFERSON,ST,SE,,14,30,VALLEY VIEW ADDN,19083,2500000,EVAN DAVIS - CU111921802,SUNLIGHT PROPERTIES LLC,20230214,20
13,2023-02-14,"Feb 14, 2023",David  Zamora ,2723 San Mateo Blvd. NE,Zamora Builders,,1596,10000.0,"$10,000.00",BP-2022-36747,Commercial,shell building,2723,SAN MATEO,BLVD,NE,,4,3,BEL AIR,1596,10000,DAVID  ZAMORA - CU58380405,ZAMORA BUILDERS,20230214,
14,2023-02-14,"Feb 14, 2023","Stephen Leos Architect, Llc Stephen Leos ",6301 Indian School Road NE,Dpc Construction Ltd. Co.,,4661,250000.0,"$250,000.00",BP-2023-04088,Commercial,commercial renovation phase,6301,INDIAN SCHOOL,RD,NE,,E,0000,JEANNEDALE UNIT 4,4661,250000,"STEPHEN LEOS ARCHITECT, LLC STEPHEN LEOS - CU82244107",DPC CONSTRUCTION LTD. CO.,20230214,
15,2023-02-13,"Feb 13, 2023",Evan Davis ,99999 Jefferson St. SE,Sunlight Properties Llc,,1141,0.0,,BP-2022-44932,Commercial,commercial new phase,99999,JEFFERSON,ST,SE,,13,30,VALLEY VIEW ADDN,1141,0,EVAN DAVIS - CU111921802,SUNLIGHT PROPERTIES LLC,20230213,
16,2023-02-13,"Feb 13, 2023",Doug Heller ,6025 Coronado Ave. NE,"Viking Age, Mullen Heller Architecture",,6322,60000.0,"$60,000.00",BP-2022-36127,Commercial,alterations,6025,CORONADO,AV,NE,,19,6,N ABQ ACRES TRACT A UNIT A,6322,60000,DOUG HELLER - CU76280795,"VIKING AGE, MULLEN HELLER ARCHITECTURE",20230213,
17,2023-02-13,"Feb 13, 2023",Evan Davis ,99999 Jefferson St. SE,Sunlight Properties Llc,,995,0.0,,BP-2022-44940,Commercial,commercial new phase,99999,JEFFERSON,ST,SE,,13,30,VALLEY VIEW ADDN,995,0,EVAN DAVIS - CU111921802,SUNLIGHT PROPERTIES LLC,20230213,
18,2023-02-13,"Feb 13, 2023",Evan Davis ,99999 Jefferson St. SE,Sunlight Properties Llc,,1141,0.0,,BP-2022-44944,Commercial,commercial new phase,99999,JEFFERSON,ST,SE,,13,30,VALLEY VIEW ADDN,1141,0,EVAN DAVIS - CU111921802,SUNLIGHT PROPERTIES LLC,20230213,
19,2023-02-13,"Feb 13, 2023",Church Of Scientology Of Nm,410 Central Ave. SW,Action Security Iron Inc.,,0,12320.0,"$12,320.00",GP-2023-01244,Commercial,a site wall,410,CENTRAL,AV,SW,,5,18,NEW MEXICO TOWN COMPANYS ORIGINAL TOWNSITE,0,12320,CHURCH OF SCIENTOLOGY OF NM,"ACTION SECURITY IRON, INC.",20230213,0
