,proper_date,permit_date,owner_name,combined_address,contractor_name,type_of_work,int_sq_feet,int_valuation,currency_valuation,ApplicationPermitNumber,CommercialorResidential,TypeofWork,SiteNumber,SiteStreet,SiteStreetType,SiteStreetDirectional,SiteZip,Lot,Block,Subdivision,TotalSquareFeet,PlanCheckValuation,OwnerName,ContractorName,IssueDate,NumberOfUnits
0,2021-04-23,"April 23, 2021",Ultimate Car & Truck Accessories,4016 Menaul Blvd. NE,Electrical Products Co.,Sign - Commercial Sign,0,2000.0,"$2,000.00",GP-2021-09663,Commercial,Sign - Commercial Sign,4016,MENAUL,BLVD,NE,,1,13,CHAVEZ--TIMOTEO ADDN,0,2000,ULTIMATE CAR & TRUCK ACCESSORIES,ELECTRICAL PRODUCTS COMPANY,20210423,0
1,2021-04-23,"April 23, 2021",Formative Architecture - Cu42313490,413 2Nd St. SW,"Hart Design And Construction Inc., Formative Architecture",Addition,884,30000.0,"$30,000.00",BP-2020-47055,Commercial,Addition,413,2ND,ST,SW,,13A,37,NEW MEXICO TOWN COMPANYS ORIGINAL TOWNSITE,884,30000,FORMATIVE ARCHITECTURE - CU42313490,"HART DESIGN AND CONSTRUCTION INC., FORMATIVE ARCHITECTURE",20210423,
2,2021-04-23,"April 23, 2021",James Lewis - Cu34935835,219 Central Ave. NW,"Clear Sky Contractors Llc, James C Lewis Architect ",Alterations,1690,39984.0,"$39,984.00",BP-2020-54141,Commercial,Alterations,219,CENTRAL,AV,NW,,22,9,ORIGINAL TOWNSITE OF ABQ,1690,39984,JAMES LEWIS - CU34935835,"CLEAR SKY CONTRACTORS LLC, JAMES C LEWIS ARCHITECT ",20210423,1
3,2021-04-23,"April 23, 2021",James Lewis - Cu34935835,219 Central Ave. NW,"Clear Sky Contractors Llc, James C Lewis Architect ",Alterations,1485,29574.0,"$29,574.00",BP-2020-54130,Commercial,Alterations,219,CENTRAL,AV,NW,,22,9,ORIGINAL TOWNSITE OF ABQ,1485,29574,JAMES LEWIS - CU34935835,"CLEAR SKY CONTRACTORS LLC, JAMES C LEWIS ARCHITECT ",20210423,1
4,2021-04-23,"April 23, 2021",James Lewis - Cu34935835,219 Central Ave. NW,"Clear Sky Contractors Llc, James C Lewis Architect ",Alterations,1550,30545.0,"$30,545.00",BP-2020-54142,Commercial,Alterations,219,CENTRAL,AV,NW,,22,9,ORIGINAL TOWNSITE OF ABQ,1550,30545,JAMES LEWIS - CU34935835,"CLEAR SKY CONTRACTORS LLC, JAMES C LEWIS ARCHITECT ",20210423,1
5,2021-04-23,"April 23, 2021",Gina Kelly - Cu97137236,4600 Cutler Ave. NE,"Sga Design Group, Tri State General Contractors Inc.",Alterations,36800,1000000.0,"$1,000,000.00",BP-2020-53368,Commercial,Alterations,4600,CUTLER,AV,NE,,3A1,0000,PAVILIONS AT SAN MATEO,36800,1000000,GINA KELLY - CU97137236,"SGA DESIGN GROUP, TRI STATE GENERAL CONTRACTORS INC",20210423,
6,2021-04-23,"April 23, 2021",James Lewis - Cu34935835,219 Central Ave. NW,"Clear Sky Contractors Llc, James C Lewis Architect ",Alterations,1656,32634.0,"$32,634.00",BP-2020-54140,Commercial,Alterations,219,CENTRAL,AV,NW,,22,9,ORIGINAL TOWNSITE OF ABQ,1656,32634,JAMES LEWIS - CU34935835,"CLEAR SKY CONTRACTORS LLC, JAMES C LEWIS ARCHITECT ",20210423,
7,2021-04-23,"April 23, 2021",Abq Eyebrow Designer ,1800 Unser Blvd. NW,Electrical Products Co.,Sign - Commercial Sign,0,1200.0,"$1,200.00",GP-2021-14787,Commercial,Sign - Commercial Sign,1800,UNSER,BLVD,NW,,C1,0000,HERITAGE MARKETPLACE,0,1200,ABQ EYEBROW DESIGNER ,ELECTRICAL PRODUCTS COMPANY,20210423,0
8,2021-04-23,"April 23, 2021","New Mexico Gas Compay, Inc.",4625 Edith Blvd. NE,Positive Energy Inc.,Solar Under 10KW - Ground,0,370781.29,"$370,781.29",GP-2021-12476,Commercial,Solar Under 10KW - Ground,4625,EDITH,BLVD,NE,,23B,0000,MRGCD MAP 33,0,370781.29,"NEW MEXICO GAS COMPAY, INC.","POSITIVE ENERGY, INC.",20210423,0
9,2021-04-23,"April 23, 2021",Daniel Finney - Cu130748669,4625 Edith Blvd. NE,Positive Energy Inc.,Addition,7850,370781.29,"$370,781.29",BP-2021-14179,Commercial,Addition,4625,EDITH,BLVD,NE,,23A,0000,MRGCD MAP 33,7850,370781.29,DANIEL FINNEY - CU130748669,"POSITIVE ENERGY, INC.",20210423,
10,2021-04-22,"April 22, 2021",Carlos Torres - Cu60835421,2100 Louisiana Blvd. NE,Hart Design And Construction Inc.,Alterations,3100,282790.0,"$282,790.00",BP-2020-07687,Commercial,Alterations,2100,LOUISIANA,BLVD,NE,,A1A2,0000,WINROCK CENTER ADDN,3100,282790,CARLOS TORRES - CU60835421,HART DESIGN AND CONSTRUCTION INC.,20210422,
11,2021-04-22,"April 22, 2021",Hc Group Dps - Cu66556058,6301 Forest Hills  NE,"Klinger Constructors Llc, Dekker Perich Sabatini",Addition,6675,855830.0,"$855,830.00",BP-2020-52860,Commercial,Addition,6301,FOREST HILLS,DR,NE,,2,0000,NEW HEART CENTER,6675,855830,HC GROUP DPS - CU66556058,"KLINGER CONSTRUCTORS LLC, DEKKER PERICH SABATINI",20210422,
12,2021-04-22,"April 22, 2021",Mark Rouch - Cu119898096,6670 Indian School Road NE,"Stitt, J.M. Construction Inc., Rouch Architects",New Building,3361,1906000.0,"$1,906,000.00",BP-2020-40424,Commercial,New Building,6670,INDIAN SCHOOL,RD,NE,,1D1A1,0000,PARK SQUARE ADDN,3361,1906000,MARK ROUCH - CU119898096,"STITT, J.M. CONSTRUCTION, INC., ROUCH ARCHITECTS",20210422,1
